id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
0,0.558 x Jupiter,Neptune-like,Transit,32.7 Earths,2024,0.06614 AU,6.3 days,
1,1.43 x Earth (estimate),Super Earth,Microlensing,2.63 Earths,2024,2.63 AU,6 years,
2,1.23 x Jupiter (estimate),Gas Giant,Microlensing,0.95 Jupiters,2024,3.58 AU,7.9 years,
3,0.354 x Jupiter (estimate),Neptune-like,Microlensing,14.93794 Earths,2024,2.07 AU,4.9 years,
4,1.18 x Jupiter (estimate),Gas Giant,Microlensing,2.59 Jupiters,2024,1.88 AU,4 years,
5,1.21 x Jupiter (estimate),Gas Giant,Microlensing,0.38 Jupiters,2024,2.5 AU,5.3 years,
6,0.7 x Earth,Terrestrial,Transit,0.271 Earths,2024,Unknown,0.9 days,
7,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,8.49 Jupiters,2024,7.39 AU,18.4 years,0.08
8,0.51 x Earth,Terrestrial,Transit,0.087 Earths,2024,Unknown,0.7 days,
9,0.4 x Earth,Terrestrial,Transit,0.0364 Earths,2024,Unknown,0.6 days,
10,0.6 x Earth,Terrestrial,Transit,0.156 Earths,2024,Unknown,0.9 days,
11,0.43 x Earth,Terrestrial,Transit,0.0472 Earths,2024,Unknown,0.6 days,
12,1.083 x Jupiter,Gas Giant,Transit,2.412 Jupiters,2024,0.1093 AU,11.2 days,0.03
13,1.34 x Jupiter,Gas Giant,Transit,0.927 Jupiters,2024,0.0684 AU,5.8 days,0.06
14,0.764 x Earth (estimate),Terrestrial,Radial Velocity,0.37 Earths,2024,0.02294 AU,3.2 days,< 0.16
15,0.558 x Jupiter,Neptune-like,Transit,32.7 Earths,2024,0.06614 AU,6.3 days,
16,1.43 x Earth (estimate),Super Earth,Microlensing,2.63 Earths,2024,2.63 AU,6 years,
17,1.23 x Jupiter (estimate),Gas Giant,Microlensing,0.95 Jupiters,2024,3.58 AU,7.9 years,
18,0.354 x Jupiter (estimate),Neptune-like,Microlensing,14.93794 Earths,2024,2.07 AU,4.9 years,
19,1.18 x Jupiter (estimate),Gas Giant,Microlensing,2.59 Jupiters,2024,1.88 AU,4 years,
20,1.21 x Jupiter (estimate),Gas Giant,Microlensing,0.38 Jupiters,2024,2.5 AU,5.3 years,
21,0.7 x Earth,Terrestrial,Transit,0.271 Earths,2024,Unknown,0.9 days,
22,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,8.49 Jupiters,2024,7.39 AU,18.4 years,0.08
23,0.51 x Earth,Terrestrial,Transit,0.087 Earths,2024,Unknown,0.7 days,
24,0.4 x Earth,Terrestrial,Transit,0.0364 Earths,2024,Unknown,0.6 days,
25,0.6 x Earth,Terrestrial,Transit,0.156 Earths,2024,Unknown,0.9 days,
26,0.43 x Earth,Terrestrial,Transit,0.0472 Earths,2024,Unknown,0.6 days,
27,1.083 x Jupiter,Gas Giant,Transit,2.412 Jupiters,2024,0.1093 AU,11.2 days,0.03
28,1.34 x Jupiter,Gas Giant,Transit,0.927 Jupiters,2024,0.0684 AU,5.8 days,0.06
29,0.764 x Earth (estimate),Terrestrial,Radial Velocity,0.37 Earths,2024,0.02294 AU,3.2 days,< 0.16
30,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,5.19 Jupiters,2024,10.8 AU,40.8 years,0.56
31,0.708 x Jupiter,Gas Giant,Transit,0.152 Jupiters,2024,0.1228 AU,14.3 days,0.08
32,1.14 x Jupiter (estimate),Gas Giant,Transit Timing Variations,5.77 Jupiters,2024,5.219 AU,10.9 years,0.12
33,1.148 x Jupiter,Gas Giant,Transit,0.71422 Jupiters,2024,0.098 AU,10.6 days,0.41
34,1.195 x Jupiter,Gas Giant,Transit,2.00737 Jupiters,2024,0.048 AU,3.6 days,< 0.035
