id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
0,TOI-5005 b,207.891,32.7 Earths,11.867,2024,https://science.nasa.gov/exoplanet-catalog/toi-5005-b/
1,KMT-2023-BLG-1866L b,6210,2.63 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-1866l-b/
2,KMT-2016-BLG-2321L b,3580,0.95 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2016-blg-2321l-b/
3,MOA-2016-BLG-526L b,6930,14.93794 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/moa-2016-blg-526l-b/
4,OGLE-2016-BLG-1800L b,6480,2.59 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2016-blg-1800l-b/
5,OGLE-2016-BLG-1598L b,5910,0.38 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2016-blg-1598l-b/
6,KOI-4978 b,936.341,0.271 Earths,15.633,2024,https://science.nasa.gov/exoplanet-catalog/koi-4978-b/
7,HD 75898 c,78.0505,8.49 Jupiters,8.03,2024,https://science.nasa.gov/exoplanet-catalog/hd-75898-c/
8,Kepler-1489 c,1283.05,0.087 Earths,14.983,2024,https://science.nasa.gov/exoplanet-catalog/kepler-1489-c/
9,Kepler-879 c,802.672,0.0364 Earths,14.429,2024,https://science.nasa.gov/exoplanet-catalog/kepler-879-c/
10,Kepler-963 c,771.494,0.156 Earths,15.091,2024,https://science.nasa.gov/exoplanet-catalog/kepler-963-c/
11,Kepler-158 d,315.177,0.0472 Earths,14.743,2024,https://science.nasa.gov/exoplanet-catalog/kepler-158-d/
12,TOI-2485 b,397.953,2.412 Jupiters,11.935,2024,https://science.nasa.gov/exoplanet-catalog/toi-2485-b/
13,TOI-2420 b,435.174,0.927 Jupiters,11.574,2024,https://science.nasa.gov/exoplanet-catalog/toi-2420-b/
14,Barnard b,1.82655,0.37 Earths,9.54,2024,https://science.nasa.gov/exoplanet-catalog/barnard-b/
15,TOI-5005 b,207.891,32.7 Earths,11.867,2024,https://science.nasa.gov/exoplanet-catalog/toi-5005-b/
16,KMT-2023-BLG-1866L b,6210,2.63 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2023-blg-1866l-b/
17,KMT-2016-BLG-2321L b,3580,0.95 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/kmt-2016-blg-2321l-b/
18,MOA-2016-BLG-526L b,6930,14.93794 Earths,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/moa-2016-blg-526l-b/
19,OGLE-2016-BLG-1800L b,6480,2.59 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2016-blg-1800l-b/
20,OGLE-2016-BLG-1598L b,5910,0.38 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2016-blg-1598l-b/
21,KOI-4978 b,936.341,0.271 Earths,15.633,2024,https://science.nasa.gov/exoplanet-catalog/koi-4978-b/
22,HD 75898 c,78.0505,8.49 Jupiters,8.03,2024,https://science.nasa.gov/exoplanet-catalog/hd-75898-c/
23,Kepler-1489 c,1283.05,0.087 Earths,14.983,2024,https://science.nasa.gov/exoplanet-catalog/kepler-1489-c/
24,Kepler-879 c,802.672,0.0364 Earths,14.429,2024,https://science.nasa.gov/exoplanet-catalog/kepler-879-c/
25,Kepler-963 c,771.494,0.156 Earths,15.091,2024,https://science.nasa.gov/exoplanet-catalog/kepler-963-c/
26,Kepler-158 d,315.177,0.0472 Earths,14.743,2024,https://science.nasa.gov/exoplanet-catalog/kepler-158-d/
27,TOI-2485 b,397.953,2.412 Jupiters,11.935,2024,https://science.nasa.gov/exoplanet-catalog/toi-2485-b/
28,TOI-2420 b,435.174,0.927 Jupiters,11.574,2024,https://science.nasa.gov/exoplanet-catalog/toi-2420-b/
29,Barnard b,1.82655,0.37 Earths,9.54,2024,https://science.nasa.gov/exoplanet-catalog/barnard-b/
